City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,luena,-11.7833,19.9167,22.1,37,0,3.6,AO,1694741709
83,piacabucu,-10.4056,-36.4344,22.99,87,10,3.01,BR,1694741709
84,masterton,-40.9597,175.6575,10.9,68,92,5.18,NZ,1694741675
85,udachny,66.4167,112.4,8.88,93,100,9.11,RU,1694741710
86,buseresere,-3.0236,31.8747,20.62,50,26,3.22,TZ,1694741710
87,lebu,-37.6167,-73.65,12.51,98,100,3.99,CL,1694741710
88,port elizabeth,-33.918,25.5701,10.16,81,0,1.54,ZA,1694741711
89,bethel,41.3712,-73.414,18.2,77,0,2.57,US,1694741711
90,obihiro,42.9172,143.2044,21.67,73,87,0.53,JP,1694741711
91,nakhodka,42.8333,132.8947,21.1,52,96,1.55,RU,1694741712
92,brisas de zicatela,15.8369,-97.0419,29.29,58,75,0.0,MX,1694741712
93,severo-yeniseyskiy,60.3725,93.0408,9.87,63,24,0.44,RU,1694741712
94,coquimbo,-29.9533,-71.3436,14.85,72,0,2.06,CL,1694741547
95,puerto baquerizo moreno,-0.9,-89.6,22.95,79,98,6.84,EC,1694741713
96,morganton,35.7454,-81.6848,21.21,90,75,0.45,US,1694741633
97,stung treng,13.5259,105.9683,23.7,99,100,1.62,KH,1694741714
98,saipan,15.1355,145.701,31.39,74,75,6.17,MP,1694741715
99,albany,42.6001,-73.9662,14.65,71,0,2.68,US,1694741715
100,tazacorte,28.629,-17.9293,24.54,69,75,5.66,ES,1694741715
101,leava,-14.3,-178.1667,27.29,78,79,8.94,WF,1694741716
102,hoa binh,20.8133,105.3383,25.99,88,94,1.72,VN,1694741717
103,uturoa,-16.7333,-151.4333,24.27,84,100,7.47,PF,1694741717
104,margaret river,-33.95,115.0667,16.7,74,100,7.61,AU,1694741718
105,hamilton,39.1834,-84.5333,19.87,66,0,4.12,US,1694741384
106,chonchi,-42.6128,-73.8092,11.56,97,100,5.28,CL,1694741718
107,port mathurin,-19.6833,63.4167,22.97,70,100,7.02,MU,1694741719
108,padang,-0.9492,100.3543,26.03,83,25,1.61,ID,1694741391
109,chornomorske,45.5039,32.6997,21.28,68,7,5.25,UA,1694741719
110,longyearbyen,78.2186,15.6401,1.91,87,75,8.23,SJ,1694741720
111,saldanha,-33.0117,17.9442,14.03,88,75,9.47,ZA,1694741720
112,kasane,-17.8167,25.15,17.67,48,0,1.43,BW,1694741721
113,goure,13.9835,10.2704,27.49,59,99,4.14,NE,1694741721
114,vadso,70.0744,29.7487,2.09,87,43,3.6,NO,1694741721
115,san isidro buen suceso,19.1558,-98.1053,12.6,84,35,0.66,MX,1694741722
116,new norfolk,-42.7826,147.0587,18.84,46,49,5.17,AU,1694741722
117,hirara,24.8,125.2833,30.92,84,40,6.17,JP,1694741722
118,yorkton,51.2167,-102.4677,11.91,76,100,5.66,CA,1694741723
119,sinabang,2.4803,96.3801,27.65,81,100,4.57,ID,1694741723
120,fale old settlement,-9.3852,-171.2468,28.43,72,10,3.26,TK,1694741723
121,eraan,9.0629,117.7016,29.87,67,99,2.3,PH,1694741724
122,turinsk,58.0458,63.696,9.16,84,9,1.4,RU,1694741724
123,lompoc,34.6391,-120.4579,21.68,89,100,3.09,US,1694741602
124,sam roi yot,12.2708,99.872,26.99,91,100,4.13,TH,1694741725
125,port augusta,-32.5,137.7667,24.19,28,1,1.83,AU,1694741725
126,happy valley-goose bay,53.3168,-60.3315,19.17,88,100,4.12,CA,1694741725
127,tsiombe,-25.3,45.4833,17.92,91,0,3.03,MG,1694741726
128,aasiaat,68.7098,-52.8699,-2.37,95,94,2.48,GL,1694741726
129,guiuan,11.0333,125.7247,28.98,72,97,3.69,PH,1694741726
130,talnakh,69.4865,88.3972,4.56,84,100,5.91,RU,1694741727
131,nagqu,31.5,92.0,6.83,49,54,1.86,CN,1694741727
132,tura,25.5198,90.2201,26.58,81,29,2.36,IN,1694741438
133,selfoss,63.9331,-20.9971,5.02,87,9,1.66,IS,1694741728
134,aktyubinskiy,54.8137,52.8056,13.81,57,74,1.18,RU,1694741729
135,avarua,-21.2078,-159.775,26.03,69,20,7.72,CK,1694741729
136,lu-uk,5.9684,121.3122,29.13,68,94,2.45,PH,1694741729
137,mandalgovi,45.7625,106.2708,9.45,58,2,7.78,MN,1694741730
138,luderitz,-26.6481,15.1594,12.17,75,1,5.35,NA,1694741730
139,colonia del sacramento,-34.4667,-57.85,13.79,60,98,7.41,UY,1694741730
